election_code,election_date,territory_code,territory_name,territory_type,organ,state,party,party_full,party_type,votes,votes_pct,mandates,presidents,absolute_majorities,electoral_circles_compete
AUT25,2025-10-12,0101,Águeda,Concelho,AM,Resultados Apurados,PPD/PSD.MPT, ,Coalition,12982,54.51,13,NA,NA,NA
AUT25,2025-10-12,0101,Águeda,Concelho,AM,Resultados Apurados,PS, ,PoliticalParty,4639,19.48,4,NA,NA,NA
AUT25,2025-10-12,0101,Águeda,Concelho,AM,Resultados Apurados,CDS-PP, ,PoliticalParty,2586,10.86,2,NA,NA,NA
AUT25,2025-10-12,0101,Águeda,Concelho,AM,Resultados Apurados,CH, ,PoliticalParty,2034,8.54,2,NA,NA,NA
AUT25,2025-10-12,0101,Águeda,Concelho,AM,Resultados Apurados,PCP-PEV, ,Coalition,345,1.45,0,NA,NA,NA
AUT25,2025-10-12,0101,Águeda,Concelho,AM,Resultados Apurados,B.E., ,PoliticalParty,219,0.92,0,NA,NA,NA
AUT25,2025-10-12,0102,Albergaria-a-Velha,Concelho,AM,Resultados Apurados,CDS-PP, ,PoliticalParty,6725,47.07,11,NA,NA,NA
AUT25,2025-10-12,0102,Albergaria-a-Velha,Concelho,AM,Resultados Apurados,PPD/PSD.IL, ,Coalition,4634,32.44,8,NA,NA,NA
AUT25,2025-10-12,0102,Albergaria-a-Velha,Concelho,AM,Resultados Apurados,CH, ,PoliticalParty,1108,7.76,1,NA,NA,NA
AUT25,2025-10-12,0102,Albergaria-a-Velha,Concelho,AM,Resultados Apurados,PS, ,PoliticalParty,1081,7.57,1,NA,NA,NA
AUT25,2025-10-12,0102,Albergaria-a-Velha,Concelho,AM,Resultados Apurados,PCP-PEV, ,Coalition,272,1.9,0,NA,NA,NA
AUT25,2025-10-12,0103,Anadia,Concelho,AM,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,8253,57.5,13,NA,NA,NA
AUT25,2025-10-12,0103,Anadia,Concelho,AM,Resultados Apurados,PS, ,PoliticalParty,2964,20.65,5,NA,NA,NA
AUT25,2025-10-12,0103,Anadia,Concelho,AM,Resultados Apurados,CH, ,PoliticalParty,1873,13.05,3,NA,NA,NA
AUT25,2025-10-12,0103,Anadia,Concelho,AM,Resultados Apurados,PCP-PEV, ,Coalition,505,3.52,0,NA,NA,NA
AUT25,2025-10-12,0104,Arouca,Concelho,AM,Resultados Apurados,PPD/PSD.CDS-PP.PPM.IL, ,Coalition,6455,44.99,10,NA,NA,NA
AUT25,2025-10-12,0104,Arouca,Concelho,AM,Resultados Apurados,PS, ,PoliticalParty,5908,41.18,9,NA,NA,NA
AUT25,2025-10-12,0104,Arouca,Concelho,AM,Resultados Apurados,CH, ,PoliticalParty,1257,8.76,2,NA,NA,NA
AUT25,2025-10-12,0104,Arouca,Concelho,AM,Resultados Apurados,PCP-PEV, ,Coalition,301,2.1,0,NA,NA,NA
AUT25,2025-10-12,0105,Aveiro,Concelho,AM,Resultados Apurados,PPD/PSD.CDS-PP.PPM, ,Coalition,15039,38.83,12,NA,NA,NA
AUT25,2025-10-12,0105,Aveiro,Concelho,AM,Resultados Apurados,PS, ,PoliticalParty,11583,29.91,9,NA,NA,NA
AUT25,2025-10-12,0105,Aveiro,Concelho,AM,Resultados Apurados,CH, ,PoliticalParty,4648,12,3,NA,NA,NA
AUT25,2025-10-12,0105,Aveiro,Concelho,AM,Resultados Apurados,IL, ,PoliticalParty,2348,6.06,2,NA,NA,NA
AUT25,2025-10-12,0105,Aveiro,Concelho,AM,Resultados Apurados,L, ,PoliticalParty,1305,3.37,1,NA,NA,NA
AUT25,2025-10-12,0105,Aveiro,Concelho,AM,Resultados Apurados,B.E., ,PoliticalParty,1001,2.58,0,NA,NA,NA
AUT25,2025-10-12,0105,Aveiro,Concelho,AM,Resultados Apurados,PCP-PEV, ,Coalition,812,2.1,0,NA,NA,NA
AUT25,2025-10-12,0105,Aveiro,Concelho,AM,Resultados Apurados,PAN, ,PoliticalParty,381,0.98,0,NA,NA,NA
AUT25,2025-10-12,0106,Castelo de Paiva,Concelho,AM,Resultados Apurados,PPD/PSD, ,PoliticalParty,5480,48.32,11,NA,NA,NA
AUT25,2025-10-12,0106,Castelo de Paiva,Concelho,AM,Resultados Apurados,PS, ,PoliticalParty,5401,47.63,10,NA,NA,NA
