election_code,election_date,territory_code,territory_name,territory_type,organ,state,party,party_full,party_type,votes,votes_pct,mandates,presidents,absolute_majorities,electoral_circles_compete
AUT25,2025-10-12,010103,Aguada de Cima,Freguesia,AM,Resultados Apurados,PPD/PSD.MPT, ,Coalition,960,56.34,NA,NA,NA,NA
AUT25,2025-10-12,010103,Aguada de Cima,Freguesia,AM,Resultados Apurados,PS, ,PoliticalParty,279,16.37,NA,NA,NA,NA
AUT25,2025-10-12,010103,Aguada de Cima,Freguesia,AM,Resultados Apurados,CH, ,PoliticalParty,237,13.91,NA,NA,NA,NA
AUT25,2025-10-12,010103,Aguada de Cima,Freguesia,AM,Resultados Apurados,CDS-PP, ,PoliticalParty,97,5.69,NA,NA,NA,NA
AUT25,2025-10-12,010103,Aguada de Cima,Freguesia,AM,Resultados Apurados,B.E., ,PoliticalParty,31,1.82,NA,NA,NA,NA
AUT25,2025-10-12,010103,Aguada de Cima,Freguesia,AM,Resultados Apurados,PCP-PEV, ,Coalition,10,0.59,NA,NA,NA,NA
AUT25,2025-10-12,010109,Fermentelos,Freguesia,AM,Resultados Apurados,PPD/PSD.MPT, ,Coalition,1115,66.61,NA,NA,NA,NA
AUT25,2025-10-12,010109,Fermentelos,Freguesia,AM,Resultados Apurados,CDS-PP, ,PoliticalParty,169,10.1,NA,NA,NA,NA
AUT25,2025-10-12,010109,Fermentelos,Freguesia,AM,Resultados Apurados,PS, ,PoliticalParty,139,8.3,NA,NA,NA,NA
AUT25,2025-10-12,010109,Fermentelos,Freguesia,AM,Resultados Apurados,CH, ,PoliticalParty,136,8.12,NA,NA,NA,NA
AUT25,2025-10-12,010109,Fermentelos,Freguesia,AM,Resultados Apurados,B.E., ,PoliticalParty,14,0.84,NA,NA,NA,NA
AUT25,2025-10-12,010109,Fermentelos,Freguesia,AM,Resultados Apurados,PCP-PEV, ,Coalition,11,0.66,NA,NA,NA,NA
AUT25,2025-10-12,010112,Macinhata do Vouga,Freguesia,AM,Resultados Apurados,PPD/PSD.MPT, ,Coalition,895,59.87,NA,NA,NA,NA
AUT25,2025-10-12,010112,Macinhata do Vouga,Freguesia,AM,Resultados Apurados,PS, ,PoliticalParty,271,18.13,NA,NA,NA,NA
AUT25,2025-10-12,010112,Macinhata do Vouga,Freguesia,AM,Resultados Apurados,CH, ,PoliticalParty,158,10.57,NA,NA,NA,NA
AUT25,2025-10-12,010112,Macinhata do Vouga,Freguesia,AM,Resultados Apurados,CDS-PP, ,PoliticalParty,67,4.48,NA,NA,NA,NA
AUT25,2025-10-12,010112,Macinhata do Vouga,Freguesia,AM,Resultados Apurados,PCP-PEV, ,Coalition,21,1.4,NA,NA,NA,NA
AUT25,2025-10-12,010112,Macinhata do Vouga,Freguesia,AM,Resultados Apurados,B.E., ,PoliticalParty,13,0.87,NA,NA,NA,NA
AUT25,2025-10-12,010119,Valongo do Vouga,Freguesia,AM,Resultados Apurados,PPD/PSD.MPT, ,Coalition,1180,49.58,NA,NA,NA,NA
AUT25,2025-10-12,010119,Valongo do Vouga,Freguesia,AM,Resultados Apurados,PS, ,PoliticalParty,524,22.02,NA,NA,NA,NA
AUT25,2025-10-12,010119,Valongo do Vouga,Freguesia,AM,Resultados Apurados,CDS-PP, ,PoliticalParty,278,11.68,NA,NA,NA,NA
AUT25,2025-10-12,010119,Valongo do Vouga,Freguesia,AM,Resultados Apurados,CH, ,PoliticalParty,222,9.33,NA,NA,NA,NA
AUT25,2025-10-12,010119,Valongo do Vouga,Freguesia,AM,Resultados Apurados,PCP-PEV, ,Coalition,73,3.07,NA,NA,NA,NA
AUT25,2025-10-12,010119,Valongo do Vouga,Freguesia,AM,Resultados Apurados,B.E., ,PoliticalParty,14,0.59,NA,NA,NA,NA
AUT25,2025-10-12,010124,Recardães e Espinhel,Freguesia,AM,Resultados Apurados,PPD/PSD.MPT, ,Coalition,1571,51.85,NA,NA,NA,NA
