election_code,election_date,territory_code,territory_name,territory_type,organ,subscribers,votes,voters_pct,abstention_pct,blank_votes,blank_pct,null_votes,null_pct,mandates_assigned,mandates_unassigned,mandates_total,state
AUT25,2025-10-12,010103,Aguada de Cima,Freguesia,AM,3598,1704,47.36,52.64,60,3.52,30,1.76,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010109,Fermentelos,Freguesia,AM,2811,1674,59.55,40.45,59,3.52,31,1.85,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010112,Macinhata do Vouga,Freguesia,AM,3003,1495,49.78,50.22,50,3.34,20,1.34,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010119,Valongo do Vouga,Freguesia,AM,4209,2380,56.55,43.45,54,2.27,35,1.47,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010124,Recardães e Espinhel,Freguesia,AM,5294,3030,57.23,42.77,82,2.71,42,1.39,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010125,Travassô e Óis da Ribeira,Freguesia,AM,2017,1423,70.55,29.450000000000003,32,2.25,15,1.05,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010126,"Trofa, Segadães e Lamas do Vouga",Freguesia,AM,4047,2575,63.63,36.37,65,2.52,28,1.09,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010127,Préstimo e Macieira de Alcoba,Freguesia,AM,747,530,70.95,29.049999999999997,17,3.21,6,1.13,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010128,Agadão,Freguesia,AM,306,222,72.55,27.450000000000003,1,0.45,0,0,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010129,Aguada de Baixo,Freguesia,AM,1219,751,61.61,38.39,19,2.53,5,0.67,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010130,Águeda,Freguesia,AM,9810,5219,53.2,46.8,114,2.18,53,1.02,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010131,Barrô,Freguesia,AM,1611,915,56.8,43.2,15,1.64,15,1.64,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010132,Belazaima do Chão,Freguesia,AM,472,376,79.66,20.340000000000003,4,1.06,5,1.33,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010133,Borralha,Freguesia,AM,1879,1136,60.46,39.54,112,9.86,31,2.73,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010134,Castanheira do Vouga,Freguesia,AM,544,385,70.77,29.230000000000004,10,2.6,0,0,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010202,Alquerubim,Freguesia,AM,2070,1458,70.43,29.569999999999993,24,1.65,25,1.71,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010203,Angeja,Freguesia,AM,1759,1263,71.8,28.200000000000003,38,3.01,22,1.74,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010204,Branca,Freguesia,AM,4974,3147,63.27,36.73,42,1.33,38,1.21,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010206,Ribeira de Fráguas,Freguesia,AM,1400,973,69.5,30.5,19,1.95,7,0.72,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010209,Albergaria-a-Velha e Valmaior,Freguesia,AM,9717,5730,58.97,41.03,109,1.9,75,1.31,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010210,São João de Loure e Frossos,Freguesia,AM,2528,1715,67.84,32.16,39,2.27,28,1.63,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010304,Avelãs de Caminho,Freguesia,AM,1027,637,62.03,37.97,35,5.49,9,1.41,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010305,Avelãs de Cima,Freguesia,AM,1804,1042,57.76,42.24,28,2.69,18,1.73,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010307,Moita,Freguesia,AM,2052,1191,58.04,41.96,41,3.44,17,1.43,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010309,Sangalhos,Freguesia,AM,3494,1826,52.26,47.74,72,3.94,20,1.1,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010310,São Lourenço do Bairro,Freguesia,AM,2202,1163,52.82,47.18,38,3.27,27,2.32,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010312,Vila Nova de Monsarros,Freguesia,AM,1489,853,57.29,42.71,21,2.46,9,1.06,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010313,Vilarinho do Bairro,Freguesia,AM,2578,1436,55.7,44.3,57,3.97,26,1.81,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010316,"Amoreira da Gândara, Paredes do Bairro e Ancas",Freguesia,AM,2401,1467,61.1,38.9,51,3.48,29,1.98,NA,NA,NA,Resultados Apurados
