election_code,election_date,territory_code,territory_name,territory_type,organ,state,party,party_full,party_type,votes,votes_pct,mandates,presidents,absolute_majorities,electoral_circles_compete
AUT25,2025-10-12,0101,Águeda,Concelho,CM,Resultados Apurados,PPD/PSD.MPT, ,Coalition,13702,57.54,5,1,1,NA
AUT25,2025-10-12,0101,Águeda,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,4724,19.84,2,0,0,NA
AUT25,2025-10-12,0101,Águeda,Concelho,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,2173,9.12,0,0,0,NA
AUT25,2025-10-12,0101,Águeda,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,1902,7.99,0,0,0,NA
AUT25,2025-10-12,0101,Águeda,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,277,1.16,0,0,0,NA
AUT25,2025-10-12,0101,Águeda,Concelho,CM,Resultados Apurados,B.E., ,PoliticalParty,175,0.73,0,0,0,NA
AUT25,2025-10-12,0102,Albergaria-a-Velha,Concelho,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,7349,51.44,4,1,1,NA
AUT25,2025-10-12,0102,Albergaria-a-Velha,Concelho,CM,Resultados Apurados,PPD/PSD.IL, ,Coalition,4546,31.82,3,0,0,NA
AUT25,2025-10-12,0102,Albergaria-a-Velha,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,956,6.69,0,0,0,NA
AUT25,2025-10-12,0102,Albergaria-a-Velha,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,787,5.51,0,0,0,NA
AUT25,2025-10-12,0102,Albergaria-a-Velha,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,234,1.64,0,0,0,NA
AUT25,2025-10-12,0103,Anadia,Concelho,CM,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,8448,58.86,5,1,1,NA
AUT25,2025-10-12,0103,Anadia,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,3083,21.48,1,0,0,NA
AUT25,2025-10-12,0103,Anadia,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,1727,12.03,1,0,0,NA
AUT25,2025-10-12,0103,Anadia,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,345,2.4,0,0,0,NA
AUT25,2025-10-12,0104,Arouca,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,6631,46.22,4,1,1,NA
AUT25,2025-10-12,0104,Arouca,Concelho,CM,Resultados Apurados,PPD/PSD.CDS-PP.PPM.IL, ,Coalition,6198,43.2,3,0,0,NA
AUT25,2025-10-12,0104,Arouca,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,961,6.7,0,0,0,NA
AUT25,2025-10-12,0104,Arouca,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,201,1.4,0,0,0,NA
AUT25,2025-10-12,0105,Aveiro,Concelho,CM,Resultados Apurados,PPD/PSD.CDS-PP.PPM, ,Coalition,15240,39.35,4,1,0,NA
AUT25,2025-10-12,0105,Aveiro,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,13040,33.67,4,0,0,NA
AUT25,2025-10-12,0105,Aveiro,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,4221,10.9,1,0,0,NA
AUT25,2025-10-12,0105,Aveiro,Concelho,CM,Resultados Apurados,IL, ,PoliticalParty,2010,5.19,0,0,0,NA
AUT25,2025-10-12,0105,Aveiro,Concelho,CM,Resultados Apurados,L, ,PoliticalParty,849,2.19,0,0,0,NA
AUT25,2025-10-12,0105,Aveiro,Concelho,CM,Resultados Apurados,B.E., ,PoliticalParty,780,2.01,0,0,0,NA
AUT25,2025-10-12,0105,Aveiro,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,582,1.5,0,0,0,NA
AUT25,2025-10-12,0105,Aveiro,Concelho,CM,Resultados Apurados,PAN, ,PoliticalParty,330,0.85,0,0,0,NA
AUT25,2025-10-12,0105,Aveiro,Concelho,CM,Resultados Apurados,NC, ,PoliticalParty,130,0.34,0,0,0,NA
AUT25,2025-10-12,0106,Castelo de Paiva,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,5817,51.31,4,1,1,NA
AUT25,2025-10-12,0106,Castelo de Paiva,Concelho,CM,Resultados Apurados,PPD/PSD, ,PoliticalParty,5041,44.47,3,0,0,NA
AUT25,2025-10-12,0106,Castelo de Paiva,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,192,1.69,0,0,0,NA
AUT25,2025-10-12,0106,Castelo de Paiva,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,85,0.75,0,0,0,NA
AUT25,2025-10-12,0107,Espinho,Concelho,CM,Resultados Apurados,PPD/PSD, ,PoliticalParty,6532,35.46,4,1,1,NA
AUT25,2025-10-12,0107,Espinho,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,4493,24.39,2,0,0,NA
AUT25,2025-10-12,0107,Espinho,Concelho,CM,Resultados Apurados,MMC, ,GroupCitizen,2819,15.3,1,0,0,NA
AUT25,2025-10-12,0107,Espinho,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,1586,8.61,0,0,0,NA
AUT25,2025-10-12,0107,Espinho,Concelho,CM,Resultados Apurados,IL, ,PoliticalParty,784,4.26,0,0,0,NA
AUT25,2025-10-12,0107,Espinho,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,672,3.65,0,0,0,NA
AUT25,2025-10-12,0107,Espinho,Concelho,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,417,2.26,0,0,0,NA
AUT25,2025-10-12,0107,Espinho,Concelho,CM,Resultados Apurados,B.E., ,PoliticalParty,367,1.99,0,0,0,NA
AUT25,2025-10-12,0108,Estarreja,Concelho,CM,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,5603,41.83,4,1,1,NA
AUT25,2025-10-12,0108,Estarreja,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,4644,34.67,3,0,0,NA
AUT25,2025-10-12,0108,Estarreja,Concelho,CM,Resultados Apurados,EF, ,GroupCitizen,1362,10.17,0,0,0,NA
AUT25,2025-10-12,0108,Estarreja,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,1082,8.08,0,0,0,NA
AUT25,2025-10-12,0108,Estarreja,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,272,2.03,0,0,0,NA
AUT25,2025-10-12,0109,Santa Maria da Feira,Concelho,CM,Resultados Apurados,PPD/PSD, ,PoliticalParty,39005,49.33,7,1,1,NA
AUT25,2025-10-12,0109,Santa Maria da Feira,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,21545,27.25,3,0,0,NA
AUT25,2025-10-12,0109,Santa Maria da Feira,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,8840,11.18,1,0,0,NA
AUT25,2025-10-12,0109,Santa Maria da Feira,Concelho,CM,Resultados Apurados,IL, ,PoliticalParty,2389,3.02,0,0,0,NA
AUT25,2025-10-12,0109,Santa Maria da Feira,Concelho,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,1327,1.68,0,0,0,NA
AUT25,2025-10-12,0109,Santa Maria da Feira,Concelho,CM,Resultados Apurados,L, ,PoliticalParty,1051,1.33,0,0,0,NA
AUT25,2025-10-12,0109,Santa Maria da Feira,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,961,1.22,0,0,0,NA
AUT25,2025-10-12,0109,Santa Maria da Feira,Concelho,CM,Resultados Apurados,B.E., ,PoliticalParty,774,0.98,0,0,0,NA
AUT25,2025-10-12,0109,Santa Maria da Feira,Concelho,CM,Resultados Apurados,PAN, ,PoliticalParty,582,0.74,0,0,0,NA
AUT25,2025-10-12,0110,Ílhavo,Concelho,CM,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,6580,35.74,3,1,0,NA
AUT25,2025-10-12,0110,Ílhavo,Concelho,CM,Resultados Apurados,UPF, ,GroupCitizen,6405,34.79,3,0,0,NA
AUT25,2025-10-12,0110,Ílhavo,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,2458,13.35,1,0,0,NA
AUT25,2025-10-12,0110,Ílhavo,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,1957,10.63,0,0,0,NA
AUT25,2025-10-12,0110,Ílhavo,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,337,1.83,0,0,0,NA
AUT25,2025-10-12,0111,Mealhada,Concelho,CM,Resultados Apurados,MMMI, ,GroupCitizen,4845,46.21,4,1,1,NA
AUT25,2025-10-12,0111,Mealhada,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,3334,31.8,3,0,0,NA
AUT25,2025-10-12,0111,Mealhada,Concelho,CM,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,930,8.87,0,0,0,NA
AUT25,2025-10-12,0111,Mealhada,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,687,6.55,0,0,0,NA
AUT25,2025-10-12,0111,Mealhada,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,199,1.9,0,0,0,NA
AUT25,2025-10-12,0111,Mealhada,Concelho,CM,Resultados Apurados,B.E., ,PoliticalParty,134,1.28,0,0,0,NA
AUT25,2025-10-12,0112,Murtosa,Concelho,CM,Resultados Apurados,PPD/PSD, ,PoliticalParty,2300,42.42,3,1,1,NA
AUT25,2025-10-12,0112,Murtosa,Concelho,CM,Resultados Apurados,JPM, ,GroupCitizen,1497,27.61,1,0,0,NA
AUT25,2025-10-12,0112,Murtosa,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,1160,21.39,1,0,0,NA
AUT25,2025-10-12,0112,Murtosa,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,245,4.52,0,0,0,NA
AUT25,2025-10-12,0112,Murtosa,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,70,1.29,0,0,0,NA
AUT25,2025-10-12,0113,Oliveira de Azeméis,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,17259,47.19,5,1,1,NA
AUT25,2025-10-12,0113,Oliveira de Azeméis,Concelho,CM,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,12302,33.64,3,0,0,NA
AUT25,2025-10-12,0113,Oliveira de Azeméis,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,3724,10.18,1,0,0,NA
AUT25,2025-10-12,0113,Oliveira de Azeméis,Concelho,CM,Resultados Apurados,IL, ,PoliticalParty,833,2.28,0,0,0,NA
AUT25,2025-10-12,0113,Oliveira de Azeméis,Concelho,CM,Resultados Apurados,L, ,PoliticalParty,536,1.47,0,0,0,NA
AUT25,2025-10-12,0113,Oliveira de Azeméis,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,368,1.01,0,0,0,NA
AUT25,2025-10-12,0113,Oliveira de Azeméis,Concelho,CM,Resultados Apurados,B.E., ,PoliticalParty,316,0.86,0,0,0,NA
AUT25,2025-10-12,0114,Oliveira do Bairro,Concelho,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,5381,45.42,4,1,1,NA
AUT25,2025-10-12,0114,Oliveira do Bairro,Concelho,CM,Resultados Apurados,PPD/PSD, ,PoliticalParty,3991,33.69,3,0,0,NA
AUT25,2025-10-12,0114,Oliveira do Bairro,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,1090,9.2,0,0,0,NA
AUT25,2025-10-12,0114,Oliveira do Bairro,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,855,7.22,0,0,0,NA
AUT25,2025-10-12,0114,Oliveira do Bairro,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,122,1.03,0,0,0,NA
AUT25,2025-10-12,0115,Ovar,Concelho,CM,Resultados Apurados,PPD/PSD, ,PoliticalParty,10977,37.46,4,1,0,NA
AUT25,2025-10-12,0115,Ovar,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,7574,25.84,3,0,0,NA
AUT25,2025-10-12,0115,Ovar,Concelho,CM,Resultados Apurados,AGIR!, ,GroupCitizen,4486,15.31,1,0,0,NA
AUT25,2025-10-12,0115,Ovar,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,2389,8.15,1,0,0,NA
AUT25,2025-10-12,0115,Ovar,Concelho,CM,Resultados Apurados,NC/PPM, ,Coalition,1815,6.19,0,0,0,NA
AUT25,2025-10-12,0115,Ovar,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,507,1.73,0,0,0,NA
AUT25,2025-10-12,0115,Ovar,Concelho,CM,Resultados Apurados,B.E., ,PoliticalParty,390,1.33,0,0,0,NA
AUT25,2025-10-12,0116,São João da Madeira,Concelho,CM,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,4953,44.01,4,1,1,NA
AUT25,2025-10-12,0116,São João da Madeira,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,4415,39.23,3,0,0,NA
AUT25,2025-10-12,0116,São João da Madeira,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,868,7.71,0,0,0,NA
AUT25,2025-10-12,0116,São João da Madeira,Concelho,CM,Resultados Apurados,IL, ,PoliticalParty,255,2.27,0,0,0,NA
AUT25,2025-10-12,0116,São João da Madeira,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,242,2.15,0,0,0,NA
AUT25,2025-10-12,0116,São João da Madeira,Concelho,CM,Resultados Apurados,B.E., ,PoliticalParty,241,2.14,0,0,0,NA
AUT25,2025-10-12,0117,Sever do Vouga,Concelho,CM,Resultados Apurados,PPD/PSD, ,PoliticalParty,3261,43.49,4,1,1,NA
AUT25,2025-10-12,0117,Sever do Vouga,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,1932,25.77,2,0,0,NA
AUT25,2025-10-12,0117,Sever do Vouga,Concelho,CM,Resultados Apurados,I, ,GroupCitizen,874,11.66,1,0,0,NA
AUT25,2025-10-12,0117,Sever do Vouga,Concelho,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,612,8.16,0,0,0,NA
AUT25,2025-10-12,0117,Sever do Vouga,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,556,7.42,0,0,0,NA
AUT25,2025-10-12,0117,Sever do Vouga,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,54,0.72,0,0,0,NA
AUT25,2025-10-12,0118,Vagos,Concelho,CM,Resultados Apurados,PPD/PSD, ,PoliticalParty,5850,45.91,4,1,1,NA
AUT25,2025-10-12,0118,Vagos,Concelho,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,3405,26.72,2,0,0,NA
AUT25,2025-10-12,0118,Vagos,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,1674,13.14,1,0,0,NA
AUT25,2025-10-12,0118,Vagos,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,1242,9.75,0,0,0,NA
AUT25,2025-10-12,0118,Vagos,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,106,0.83,0,0,0,NA
AUT25,2025-10-12,0119,Vale de Cambra,Concelho,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,5279,38.49,3,1,0,NA
AUT25,2025-10-12,0119,Vale de Cambra,Concelho,CM,Resultados Apurados,PPD/PSD, ,PoliticalParty,5034,36.7,3,0,0,NA
AUT25,2025-10-12,0119,Vale de Cambra,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,1606,11.71,1,0,0,NA
AUT25,2025-10-12,0119,Vale de Cambra,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,1306,9.52,0,0,0,NA
AUT25,2025-10-12,0119,Vale de Cambra,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,121,0.88,0,0,0,NA
AUT25,2025-10-12,0201,Aljustrel,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,2561,46.72,3,1,1,NA
AUT25,2025-10-12,0201,Aljustrel,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,2468,45.02,2,0,0,NA
AUT25,2025-10-12,0201,Aljustrel,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,329,6,0,0,0,NA
AUT25,2025-10-12,0202,Almodôvar,Concelho,CM,Resultados Apurados,PPD/PSD, ,PoliticalParty,2112,47.44,3,1,1,NA
AUT25,2025-10-12,0202,Almodôvar,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,1944,43.67,2,0,0,NA
AUT25,2025-10-12,0202,Almodôvar,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,163,3.66,0,0,0,NA
AUT25,2025-10-12,0202,Almodôvar,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,120,2.7,0,0,0,NA
AUT25,2025-10-12,0203,Alvito,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,787,54.65,4,1,1,NA
AUT25,2025-10-12,0203,Alvito,Concelho,CM,Resultados Apurados,MICA, ,GroupCitizen,323,22.43,1,0,0,NA
AUT25,2025-10-12,0203,Alvito,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,194,13.47,0,0,0,NA
AUT25,2025-10-12,0203,Alvito,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,93,6.46,0,0,0,NA
AUT25,2025-10-12,0204,Barrancos,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,529,54.65,3,1,1,NA
AUT25,2025-10-12,0204,Barrancos,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,356,36.78,2,0,0,NA
AUT25,2025-10-12,0204,Barrancos,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,38,3.93,0,0,0,NA
AUT25,2025-10-12,0205,Beja,Concelho,CM,Resultados Apurados,PPD/PSD.CDS-PP.IL, ,Coalition,5592,31.14,2,1,0,NA
AUT25,2025-10-12,0205,Beja,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,4817,26.82,2,0,0,NA
AUT25,2025-10-12,0205,Beja,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,3965,22.08,2,0,0,NA
AUT25,2025-10-12,0205,Beja,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,3041,16.93,1,0,0,NA
AUT25,2025-10-12,0205,Beja,Concelho,CM,Resultados Apurados,B.E., ,PoliticalParty,218,1.21,0,0,0,NA
AUT25,2025-10-12,0206,Castro Verde,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,1868,45.48,3,1,1,NA
AUT25,2025-10-12,0206,Castro Verde,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,1352,32.92,2,0,0,NA
AUT25,2025-10-12,0206,Castro Verde,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,412,10.03,0,0,0,NA
AUT25,2025-10-12,0206,Castro Verde,Concelho,CM,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,370,9.01,0,0,0,NA
AUT25,2025-10-12,0207,Cuba,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,1430,52.36,3,1,1,NA
AUT25,2025-10-12,0207,Cuba,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,961,35.19,2,0,0,NA
AUT25,2025-10-12,0207,Cuba,Concelho,CM,Resultados Apurados,PPD/PSD, ,PoliticalParty,150,5.49,0,0,0,NA
AUT25,2025-10-12,0207,Cuba,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,114,4.17,0,0,0,NA
AUT25,2025-10-12,0208,Ferreira do Alentejo,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,1845,44.17,3,1,1,NA
AUT25,2025-10-12,0208,Ferreira do Alentejo,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,1746,41.8,2,0,0,NA
AUT25,2025-10-12,0208,Ferreira do Alentejo,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,365,8.74,0,0,0,NA
AUT25,2025-10-12,0208,Ferreira do Alentejo,Concelho,CM,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,132,3.16,0,0,0,NA
AUT25,2025-10-12,0209,Mértola,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,2300,58.42,4,1,1,NA
AUT25,2025-10-12,0209,Mértola,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,994,25.25,1,0,0,NA
AUT25,2025-10-12,0209,Mértola,Concelho,CM,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,344,8.74,0,0,0,NA
AUT25,2025-10-12,0209,Mértola,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,164,4.17,0,0,0,NA
AUT25,2025-10-12,0210,Moura,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,2872,39.75,3,1,0,NA
AUT25,2025-10-12,0210,Moura,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,2819,39.02,3,0,0,NA
AUT25,2025-10-12,0210,Moura,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,779,10.78,1,0,0,NA
AUT25,2025-10-12,0210,Moura,Concelho,CM,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,569,7.88,0,0,0,NA
AUT25,2025-10-12,0211,Odemira,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,5622,45.06,4,1,1,NA
AUT25,2025-10-12,0211,Odemira,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,2197,17.61,1,0,0,NA
AUT25,2025-10-12,0211,Odemira,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,2126,17.04,1,0,0,NA
AUT25,2025-10-12,0211,Odemira,Concelho,CM,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,1609,12.89,1,0,0,NA
AUT25,2025-10-12,0211,Odemira,Concelho,CM,Resultados Apurados,IL, ,PoliticalParty,355,2.85,0,0,0,NA
AUT25,2025-10-12,0211,Odemira,Concelho,CM,Resultados Apurados,BE.L, ,Coalition,229,1.84,0,0,0,NA
AUT25,2025-10-12,0212,Ourique,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,1717,52.85,3,1,1,NA
AUT25,2025-10-12,0212,Ourique,Concelho,CM,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,1245,38.32,2,0,0,NA
AUT25,2025-10-12,0212,Ourique,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,122,3.76,0,0,0,NA
AUT25,2025-10-12,0212,Ourique,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,85,2.62,0,0,0,NA
AUT25,2025-10-12,0213,Serpa,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,3200,41.25,4,1,1,NA
AUT25,2025-10-12,0213,Serpa,Concelho,CM,Resultados Apurados,PCP-PEV, ,Coalition,2608,33.62,3,0,0,NA
AUT25,2025-10-12,0213,Serpa,Concelho,CM,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,652,8.41,0,0,0,NA
AUT25,2025-10-12,0213,Serpa,Concelho,CM,Resultados Apurados,CH, ,PoliticalParty,608,7.84,0,0,0,NA
AUT25,2025-10-12,0213,Serpa,Concelho,CM,Resultados Apurados,FAZER, ,GroupCitizen,534,6.88,0,0,0,NA
AUT25,2025-10-12,0214,Vidigueira,Concelho,CM,Resultados Apurados,PS, ,PoliticalParty,1424,44.56,3,1,1,NA
