election_code,election_date,territory_code,territory_name,territory_type,organ,subscribers,votes,voters_pct,abstention_pct,blank_votes,blank_pct,null_votes,null_pct,mandates_assigned,mandates_unassigned,mandates_total,state
AUT25,2025-10-12,0101,Águeda,Concelho,CM,41567,23815,57.29,42.71,579,2.43,283,1.19,7,0,7,Resultados Apurados
AUT25,2025-10-12,0102,Albergaria-a-Velha,Concelho,CM,22448,14286,63.64,36.36,212,1.48,202,1.41,7,0,7,Resultados Apurados
AUT25,2025-10-12,0103,Anadia,Concelho,CM,25454,14352,56.38,43.62,506,3.53,243,1.69,7,0,7,Resultados Apurados
AUT25,2025-10-12,0104,Arouca,Concelho,CM,19712,14348,72.79,27.209999999999994,215,1.5,142,0.99,7,0,7,Resultados Apurados
AUT25,2025-10-12,0105,Aveiro,Concelho,CM,70205,38728,55.16,44.84,1125,2.9,421,1.09,9,0,9,Resultados Apurados
AUT25,2025-10-12,0106,Castelo de Paiva,Concelho,CM,14025,11337,80.83,19.17,83,0.73,119,1.05,7,0,7,Resultados Apurados
AUT25,2025-10-12,0107,Espinho,Concelho,CM,29347,18421,62.77,37.23,427,2.32,324,1.76,7,0,7,Resultados Apurados
AUT25,2025-10-12,0108,Estarreja,Concelho,CM,24088,13395,55.61,44.39,217,1.62,215,1.61,7,0,7,Resultados Apurados
AUT25,2025-10-12,0109,Santa Maria da Feira,Concelho,CM,127123,79064,62.19,37.81,1524,1.93,1066,1.35,11,0,11,Resultados Apurados
AUT25,2025-10-12,0110,Ílhavo,Concelho,CM,36420,18413,50.56,49.44,436,2.37,240,1.3,7,0,7,Resultados Apurados
AUT25,2025-10-12,0111,Mealhada,Concelho,CM,17672,10485,59.33,40.67,231,2.2,125,1.19,7,0,7,Resultados Apurados
AUT25,2025-10-12,0112,Murtosa,Concelho,CM,10009,5422,54.17,45.83,92,1.7,58,1.07,5,0,5,Resultados Apurados
AUT25,2025-10-12,0113,Oliveira de Azeméis,Concelho,CM,61097,36573,59.86,40.14,775,2.12,460,1.26,9,0,9,Resultados Apurados
AUT25,2025-10-12,0114,Oliveira do Bairro,Concelho,CM,20932,11848,56.6,43.4,253,2.14,156,1.32,7,0,7,Resultados Apurados
AUT25,2025-10-12,0115,Ovar,Concelho,CM,51321,29306,57.1,42.9,724,2.47,444,1.52,9,0,9,Resultados Apurados
AUT25,2025-10-12,0116,São João da Madeira,Concelho,CM,19436,11255,57.91,42.09,178,1.58,103,0.92,7,0,7,Resultados Apurados
AUT25,2025-10-12,0117,Sever do Vouga,Concelho,CM,10139,7498,73.95,26.049999999999997,105,1.4,104,1.39,7,0,7,Resultados Apurados
AUT25,2025-10-12,0118,Vagos,Concelho,CM,22580,12741,56.43,43.57,270,2.12,194,1.52,7,0,7,Resultados Apurados
AUT25,2025-10-12,0119,Vale de Cambra,Concelho,CM,19714,13715,69.57,30.430000000000007,183,1.33,186,1.36,7,0,7,Resultados Apurados
AUT25,2025-10-12,0201,Aljustrel,Concelho,CM,7703,5482,71.17,28.83,68,1.24,56,1.02,5,0,5,Resultados Apurados
AUT25,2025-10-12,0202,Almodôvar,Concelho,CM,5975,4452,74.51,25.489999999999995,55,1.24,58,1.3,5,0,5,Resultados Apurados
AUT25,2025-10-12,0203,Alvito,Concelho,CM,1910,1440,75.39,24.61,19,1.32,24,1.67,5,0,5,Resultados Apurados
AUT25,2025-10-12,0204,Barrancos,Concelho,CM,1261,968,76.76,23.239999999999995,33,3.41,12,1.24,5,0,5,Resultados Apurados
AUT25,2025-10-12,0205,Beja,Concelho,CM,28345,17959,63.36,36.64,161,0.9,165,0.92,7,0,7,Resultados Apurados
AUT25,2025-10-12,0206,Castro Verde,Concelho,CM,6003,4107,68.42,31.58,70,1.7,35,0.85,5,0,5,Resultados Apurados
AUT25,2025-10-12,0207,Cuba,Concelho,CM,3618,2731,75.48,24.519999999999996,39,1.43,37,1.35,5,0,5,Resultados Apurados
AUT25,2025-10-12,0208,Ferreira do Alentejo,Concelho,CM,6135,4177,68.08,31.92,50,1.2,39,0.93,5,0,5,Resultados Apurados
AUT25,2025-10-12,0209,Mértola,Concelho,CM,5502,3937,71.56,28.439999999999998,79,2.01,56,1.42,5,0,5,Resultados Apurados
AUT25,2025-10-12,0210,Moura,Concelho,CM,11783,7225,61.32,38.68,104,1.44,82,1.13,7,0,7,Resultados Apurados
AUT25,2025-10-12,0211,Odemira,Concelho,CM,20252,12478,61.61,38.39,178,1.43,162,1.3,7,0,7,Resultados Apurados
AUT25,2025-10-12,0212,Ourique,Concelho,CM,4229,3249,76.83,23.17,43,1.32,37,1.14,5,0,5,Resultados Apurados
AUT25,2025-10-12,0213,Serpa,Concelho,CM,12137,7757,63.91,36.09,88,1.13,67,0.86,7,0,7,Resultados Apurados
AUT25,2025-10-12,0214,Vidigueira,Concelho,CM,4566,3196,70,30,45,1.41,21,0.66,5,0,5,Resultados Apurados
AUT25,2025-10-12,0301,Amares,Concelho,CM,17675,12812,72.49,27.510000000000005,213,1.66,122,0.95,7,0,7,Resultados Apurados
AUT25,2025-10-12,0302,Barcelos,Concelho,CM,106978,77469,72.42,27.58,1636,2.11,799,1.03,11,0,11,Resultados Apurados
AUT25,2025-10-12,0303,Braga,Concelho,CM,168147,107679,64.04,35.959999999999994,1809,1.68,877,0.81,11,0,11,Resultados Apurados
AUT25,2025-10-12,0304,Cabeceiras de Basto,Concelho,CM,16990,11797,69.43,30.569999999999993,98,0.83,102,0.86,7,0,7,Resultados Apurados
AUT25,2025-10-12,0305,Celorico de Basto,Concelho,CM,17309,11991,69.28,30.72,142,1.18,113,0.94,7,0,7,Resultados Apurados
AUT25,2025-10-12,0306,Esposende,Concelho,CM,33857,23555,69.57,30.430000000000007,369,1.57,234,0.99,7,0,7,Resultados Apurados
AUT25,2025-10-12,0307,Fafe,Concelho,CM,50111,31926,63.71,36.29,706,2.21,369,1.16,9,0,9,Resultados Apurados
AUT25,2025-10-12,0308,Guimarães,Concelho,CM,143580,100648,70.1,29.900000000000006,1642,1.63,774,0.77,11,0,11,Resultados Apurados
AUT25,2025-10-12,0309,Póvoa de Lanhoso,Concelho,CM,22177,16025,72.26,27.739999999999995,289,1.8,168,1.05,7,0,7,Resultados Apurados
AUT25,2025-10-12,0310,Terras de Bouro,Concelho,CM,6439,4681,72.7,27.299999999999997,80,1.71,41,0.88,5,0,5,Resultados Apurados
AUT25,2025-10-12,0311,Vieira do Minho,Concelho,CM,12189,9163,75.17,24.83,92,1,76,0.83,7,0,7,Resultados Apurados
AUT25,2025-10-12,0312,Vila Nova de Famalicão,Concelho,CM,121657,83575,68.7,31.299999999999997,1417,1.7,762,0.91,11,0,11,Resultados Apurados
AUT25,2025-10-12,0313,Vila Verde,Concelho,CM,45299,30161,66.58,33.42,895,2.97,337,1.12,7,0,7,Resultados Apurados
