election_code,election_date,territory_code,territory_name,territory_type,organ,state,party,party_full,party_type,votes,votes_pct,mandates,presidents,absolute_majorities,electoral_circles_compete
AUT25,2025-10-12,010103,Aguada de Cima,Freguesia,CM,Resultados Apurados,PPD/PSD.MPT, ,Coalition,1020,59.86,NA,NA,NA,NA
AUT25,2025-10-12,010103,Aguada de Cima,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,288,16.9,NA,NA,NA,NA
AUT25,2025-10-12,010103,Aguada de Cima,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,207,12.15,NA,NA,NA,NA
AUT25,2025-10-12,010103,Aguada de Cima,Freguesia,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,81,4.75,NA,NA,NA,NA
AUT25,2025-10-12,010103,Aguada de Cima,Freguesia,CM,Resultados Apurados,B.E., ,PoliticalParty,22,1.29,NA,NA,NA,NA
AUT25,2025-10-12,010103,Aguada de Cima,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,6,0.35,NA,NA,NA,NA
AUT25,2025-10-12,010109,Fermentelos,Freguesia,CM,Resultados Apurados,PPD/PSD.MPT, ,Coalition,1130,67.5,NA,NA,NA,NA
AUT25,2025-10-12,010109,Fermentelos,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,163,9.74,NA,NA,NA,NA
AUT25,2025-10-12,010109,Fermentelos,Freguesia,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,141,8.42,NA,NA,NA,NA
AUT25,2025-10-12,010109,Fermentelos,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,136,8.12,NA,NA,NA,NA
AUT25,2025-10-12,010109,Fermentelos,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,10,0.6,NA,NA,NA,NA
AUT25,2025-10-12,010109,Fermentelos,Freguesia,CM,Resultados Apurados,B.E., ,PoliticalParty,9,0.54,NA,NA,NA,NA
AUT25,2025-10-12,010112,Macinhata do Vouga,Freguesia,CM,Resultados Apurados,PPD/PSD.MPT, ,Coalition,958,64.08,NA,NA,NA,NA
AUT25,2025-10-12,010112,Macinhata do Vouga,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,245,16.39,NA,NA,NA,NA
AUT25,2025-10-12,010112,Macinhata do Vouga,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,135,9.03,NA,NA,NA,NA
AUT25,2025-10-12,010112,Macinhata do Vouga,Freguesia,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,61,4.08,NA,NA,NA,NA
AUT25,2025-10-12,010112,Macinhata do Vouga,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,18,1.2,NA,NA,NA,NA
AUT25,2025-10-12,010112,Macinhata do Vouga,Freguesia,CM,Resultados Apurados,B.E., ,PoliticalParty,13,0.87,NA,NA,NA,NA
AUT25,2025-10-12,010119,Valongo do Vouga,Freguesia,CM,Resultados Apurados,PPD/PSD.MPT, ,Coalition,1283,53.91,NA,NA,NA,NA
AUT25,2025-10-12,010119,Valongo do Vouga,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,501,21.05,NA,NA,NA,NA
AUT25,2025-10-12,010119,Valongo do Vouga,Freguesia,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,235,9.87,NA,NA,NA,NA
AUT25,2025-10-12,010119,Valongo do Vouga,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,209,8.78,NA,NA,NA,NA
AUT25,2025-10-12,010119,Valongo do Vouga,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,58,2.44,NA,NA,NA,NA
AUT25,2025-10-12,010119,Valongo do Vouga,Freguesia,CM,Resultados Apurados,B.E., ,PoliticalParty,14,0.59,NA,NA,NA,NA
AUT25,2025-10-12,010124,Recardães e Espinhel,Freguesia,CM,Resultados Apurados,PPD/PSD.MPT, ,Coalition,1713,56.53,NA,NA,NA,NA
AUT25,2025-10-12,010124,Recardães e Espinhel,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,721,23.8,NA,NA,NA,NA
AUT25,2025-10-12,010124,Recardães e Espinhel,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,255,8.42,NA,NA,NA,NA
AUT25,2025-10-12,010124,Recardães e Espinhel,Freguesia,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,176,5.81,NA,NA,NA,NA
AUT25,2025-10-12,010124,Recardães e Espinhel,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,35,1.16,NA,NA,NA,NA
AUT25,2025-10-12,010124,Recardães e Espinhel,Freguesia,CM,Resultados Apurados,B.E., ,PoliticalParty,21,0.69,NA,NA,NA,NA
AUT25,2025-10-12,010125,Travassô e Óis da Ribeira,Freguesia,CM,Resultados Apurados,PPD/PSD.MPT, ,Coalition,899,63.18,NA,NA,NA,NA
AUT25,2025-10-12,010125,Travassô e Óis da Ribeira,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,180,12.65,NA,NA,NA,NA
AUT25,2025-10-12,010125,Travassô e Óis da Ribeira,Freguesia,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,179,12.58,NA,NA,NA,NA
AUT25,2025-10-12,010125,Travassô e Óis da Ribeira,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,86,6.04,NA,NA,NA,NA
AUT25,2025-10-12,010125,Travassô e Óis da Ribeira,Freguesia,CM,Resultados Apurados,B.E., ,PoliticalParty,20,1.41,NA,NA,NA,NA
