election_code,election_date,territory_code,territory_name,territory_type,organ,subscribers,votes,voters_pct,abstention_pct,blank_votes,blank_pct,null_votes,null_pct,mandates_assigned,mandates_unassigned,mandates_total,state
AUT25,2025-10-12,010103,Aguada de Cima,Freguesia,CM,3598,1704,47.36,52.64,54,3.17,26,1.53,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010109,Fermentelos,Freguesia,CM,2811,1674,59.55,40.45,55,3.29,30,1.79,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010112,Macinhata do Vouga,Freguesia,CM,3003,1495,49.78,50.22,43,2.88,22,1.47,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010119,Valongo do Vouga,Freguesia,CM,4209,2380,56.55,43.45,48,2.02,32,1.34,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010124,Recardães e Espinhel,Freguesia,CM,5294,3030,57.23,42.77,78,2.57,31,1.02,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010125,Travassô e Óis da Ribeira,Freguesia,CM,2017,1423,70.55,29.450000000000003,25,1.76,17,1.19,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010126,"Trofa, Segadães e Lamas do Vouga",Freguesia,CM,4047,2575,63.63,36.37,64,2.49,24,0.93,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010127,Préstimo e Macieira de Alcoba,Freguesia,CM,747,530,70.95,29.049999999999997,19,3.58,7,1.32,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010128,Agadão,Freguesia,CM,306,222,72.55,27.450000000000003,1,0.45,0,0,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010129,Aguada de Baixo,Freguesia,CM,1219,751,61.61,38.39,16,2.13,6,0.8,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010130,Águeda,Freguesia,CM,9810,5219,53.2,46.8,105,2.01,56,1.07,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010131,Barrô,Freguesia,CM,1611,915,56.8,43.2,21,2.3,15,1.64,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010132,Belazaima do Chão,Freguesia,CM,472,376,79.66,20.340000000000003,5,1.33,2,0.53,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010133,Borralha,Freguesia,CM,1879,1136,60.46,39.54,39,3.43,15,1.32,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010134,Castanheira do Vouga,Freguesia,CM,544,385,70.77,29.230000000000004,6,1.56,0,0,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010202,Alquerubim,Freguesia,CM,2070,1458,70.43,29.569999999999993,14,0.96,27,1.85,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010203,Angeja,Freguesia,CM,1759,1263,71.8,28.200000000000003,30,2.38,18,1.43,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010204,Branca,Freguesia,CM,4974,3147,63.27,36.73,32,1.02,37,1.18,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010206,Ribeira de Fráguas,Freguesia,CM,1400,973,69.5,30.5,16,1.64,9,0.92,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010209,Albergaria-a-Velha e Valmaior,Freguesia,CM,9717,5731,58.98,41.02,91,1.59,84,1.47,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010210,São João de Loure e Frossos,Freguesia,CM,2528,1714,67.8,32.2,29,1.69,27,1.58,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010304,Avelãs de Caminho,Freguesia,CM,1027,637,62.03,37.97,34,5.34,7,1.1,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010305,Avelãs de Cima,Freguesia,CM,1804,1042,57.76,42.24,26,2.5,22,2.11,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010307,Moita,Freguesia,CM,2052,1191,58.04,41.96,32,2.69,17,1.43,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010309,Sangalhos,Freguesia,CM,3494,1826,52.26,47.74,59,3.23,26,1.42,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010310,São Lourenço do Bairro,Freguesia,CM,2202,1163,52.82,47.18,35,3.01,28,2.41,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010312,Vila Nova de Monsarros,Freguesia,CM,1489,853,57.29,42.71,21,2.46,8,0.94,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010313,Vilarinho do Bairro,Freguesia,CM,2578,1436,55.7,44.3,58,4.04,31,2.16,NA,NA,NA,Resultados Apurados
