election_code,election_date,territory_code,territory_name,territory_type,organ,state,party,party_full,party_type,votes,votes_pct,mandates,presidents,absolute_majorities,electoral_circles_compete
AUT25,2025-10-12,010103,Aguada de Cima,Freguesia,AF,Resultados Apurados,PPD/PSD.MPT, ,Coalition,1220,71.6,9,1,NA,NA
AUT25,2025-10-12,010109,Fermentelos,Freguesia,AF,Resultados Apurados,PPD/PSD.MPT, ,Coalition,1221,72.94,7,1,NA,NA
AUT25,2025-10-12,010109,Fermentelos,Freguesia,AF,Resultados Apurados,CDS-PP, ,PoliticalParty,320,19.12,2,0,NA,NA
AUT25,2025-10-12,010112,Macinhata do Vouga,Freguesia,AF,Resultados Apurados,PPD/PSD.MPT, ,Coalition,1031,68.96,7,1,NA,NA
AUT25,2025-10-12,010112,Macinhata do Vouga,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,354,23.68,2,0,NA,NA
AUT25,2025-10-12,010119,Valongo do Vouga,Freguesia,AF,Resultados Apurados,PPD/PSD.MPT, ,Coalition,1212,50.92,6,1,NA,NA
AUT25,2025-10-12,010119,Valongo do Vouga,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,540,22.69,2,0,NA,NA
AUT25,2025-10-12,010119,Valongo do Vouga,Freguesia,AF,Resultados Apurados,CDS-PP, ,PoliticalParty,377,15.84,1,0,NA,NA
AUT25,2025-10-12,010119,Valongo do Vouga,Freguesia,AF,Resultados Apurados,PCP-PEV, ,Coalition,144,6.05,0,0,NA,NA
AUT25,2025-10-12,010124,Recardães e Espinhel,Freguesia,AF,Resultados Apurados,PPD/PSD.MPT, ,Coalition,1469,48.48,7,1,NA,NA
AUT25,2025-10-12,010124,Recardães e Espinhel,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,1053,34.75,5,0,NA,NA
AUT25,2025-10-12,010124,Recardães e Espinhel,Freguesia,AF,Resultados Apurados,CDS-PP, ,PoliticalParty,284,9.37,1,0,NA,NA
AUT25,2025-10-12,010124,Recardães e Espinhel,Freguesia,AF,Resultados Apurados,PCP-PEV, ,Coalition,55,1.82,0,0,NA,NA
AUT25,2025-10-12,010125,Travassô e Óis da Ribeira,Freguesia,AF,Resultados Apurados,PPD/PSD.MPT, ,Coalition,872,61.28,6,1,NA,NA
AUT25,2025-10-12,010125,Travassô e Óis da Ribeira,Freguesia,AF,Resultados Apurados,CDS-PP, ,PoliticalParty,393,27.62,3,0,NA,NA
AUT25,2025-10-12,010125,Travassô e Óis da Ribeira,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,110,7.73,0,0,NA,NA
AUT25,2025-10-12,010126,"Trofa, Segadães e Lamas do Vouga",Freguesia,AF,Resultados Apurados,CDS-PP, ,PoliticalParty,996,38.68,4,1,NA,NA
AUT25,2025-10-12,010126,"Trofa, Segadães e Lamas do Vouga",Freguesia,AF,Resultados Apurados,PPD/PSD.MPT, ,Coalition,937,36.39,4,0,NA,NA
AUT25,2025-10-12,010126,"Trofa, Segadães e Lamas do Vouga",Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,353,13.71,1,0,NA,NA
AUT25,2025-10-12,010126,"Trofa, Segadães e Lamas do Vouga",Freguesia,AF,Resultados Apurados,CH, ,PoliticalParty,140,5.44,0,0,NA,NA
AUT25,2025-10-12,010126,"Trofa, Segadães e Lamas do Vouga",Freguesia,AF,Resultados Apurados,PCP-PEV, ,Coalition,55,2.14,0,0,NA,NA
AUT25,2025-10-12,010127,Préstimo e Macieira de Alcoba,Freguesia,AF,Resultados Apurados,PPD/PSD.MPT, ,Coalition,286,53.96,4,1,NA,NA
AUT25,2025-10-12,010127,Préstimo e Macieira de Alcoba,Freguesia,AF,Resultados Apurados,CDS-PP, ,PoliticalParty,223,42.08,3,0,NA,NA
AUT25,2025-10-12,010128,Agadão,Freguesia,AF,Resultados Apurados,PPD/PSD.MPT, ,Coalition,143,64.41,5,1,NA,NA
AUT25,2025-10-12,010128,Agadão,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,76,34.23,2,0,NA,NA
AUT25,2025-10-12,010129,Aguada de Baixo,Freguesia,AF,Resultados Apurados,PPD/PSD.MPT, ,Coalition,402,53.53,5,1,NA,NA
AUT25,2025-10-12,010129,Aguada de Baixo,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,306,40.75,4,0,NA,NA
AUT25,2025-10-12,010130,Águeda,Freguesia,AF,Resultados Apurados,PPD/PSD.MPT, ,Coalition,2604,49.89,7,1,NA,NA
AUT25,2025-10-12,010130,Águeda,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,1792,34.34,5,0,NA,NA
AUT25,2025-10-12,010130,Águeda,Freguesia,AF,Resultados Apurados,CH, ,PoliticalParty,341,6.53,1,0,NA,NA
AUT25,2025-10-12,010130,Águeda,Freguesia,AF,Resultados Apurados,CDS-PP, ,PoliticalParty,257,4.92,0,0,NA,NA
